,Age Range,Discouraged Jobseekers,Other,Total
0,15–24,19127.603453,247326.03311,266453.63657000003
1,25–34,10210.574674,161350.17285,171560.74753
2,35–44,12010.948635,133147.1514,145158.10003
3,45–54,8337.623603600001,79096.735354,87434.358958
4,55–64,19210.640148,81089.546317,100300.18647
5,65 and over,34798.844168,84528.88341800001,119327.72759
