State/Territory,Unemployed Males,Unemployed Females,Unemployed Persons,Employed Males,Employed Females,Employed Persons
New South Wales,112.94571548,89.785571823,202.7312873,365.63355971,377.10782665,742.74138636
Victoria,94.190597794,91.945809923,186.13640772,353.38809912,326.05461832,679.44271744
Queensland,87.235314785,68.51925148,155.75456626,241.42067758,216.82167792,458.24235549
South Australia,29.764662561,24.717399134,54.482061695,74.780130808,77.814793609,152.59492442
Western Australia,42.139740754,35.491005275,77.630746028,138.51335929,119.39619409,257.90955337
Tasmania,7.8995043847,6.7482627088,14.647767093,24.364490804,20.65413183,45.018622634
Northern Territory,3.3913592901,3.3622626329,6.753621923,11.82213986,12.612096887,24.434236747
Australian Capital Territory,3.3397858369,4.1075093655,7.4472952024,22.52361309,25.405727648,47.929340738
