,Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Australia
0,2019-02-15,84000.0,64099.99999999999,36600.0,9400.0,27500.0,3000.0,3600.0,6600.0,234700.0
1,2019-05-15,77200.0,60100.0,33200.0,11200.0,23200.0,3300.0,4200.0,6700.0,219100.0
2,2019-08-15,72800.0,61200.0,39100.0,11300.0,26400.0,3600.0,4300.0,7600.0,226300.0
3,2019-11-15,80200.0,60100.0,39200.0,11400.0,25700.0,3600.0,3500.0,7700.0,231400.0
4,2020-02-15,79300.0,59700.0,38400.0,11700.0,27600.0,3400.0,2900.0,6600.0,229500.0
5,2020-05-15,39800.0,28700.0,25200.0,6800.0,16800.0,1900.0,1700.0,3600.0,124500.0
6,2020-08-15,62200.0,45800.0,42100.0,12500.0,32200.000000000004,3400.0,4200.0,5600.0,208000.0
7,2020-11-15,82700.0,58400.0,47900.0,15600.0,37400.0,5100.0,4200.0,7900.0,259200.0
