Number of previous employers in last 12 months,unemployed_males,unemployed_females,unemployed_persons,employed_males,employed_females,employed_persons
None,211.64486533,208.35088687,419.9957522,. . ,. . ,. . 
One,129.61233992,92.063356651,221.67569657,583.59877016,601.47496972,1185.0737399
Two,30.814305826,18.601295294,49.41560112,517.32829296,453.56855926,970.89685222
Three,5.2877744756,3.1484369233,8.4362113989,89.820075605,94.113536206,183.93361181
Four or more,3.5473953349,2.5130966047,6.0604919396,41.698931537,26.710001758,68.408933295
